time_s,phase,cube_x_m,cube_y_m,cube_z_m,gripper_x_m,gripper_y_m,gripper_z_m,relative_x_m,relative_y_m,relative_z_m,cube_vz_mps,cube_speed_mps,cube_angular_speed_radps,penetration_m,table_normal_N,palm_normal_N,left_normal_N,left_vertical_N,left_side_normal_min,left_tip_clearance_m,left_q_m,left_actuator_N,right_normal_N,right_vertical_N,right_side_normal_min,right_tip_clearance_m,right_q_m,right_actuator_N,left_effective,right_effective
0.5350000000000004,settle,-2.0358536413980835e-12,3.949003163159007e-09,0.029998826413634216,0.0,0.0,0.09996826439430559,-2.0358536413980835e-12,3.949003163159007e-09,-0.06996943798067137,-7.809632510909853e-15,6.108902929654059e-11,1.7274726019214308e-09,1.1735872294769967e-06,0.7848000000000122,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0
0.5360000000000004,settle,-2.0608866151388602e-12,3.948950819162119e-09,0.02999882641363421,0.0,0.0,0.09996826439429418,-2.0608866151388602e-12,3.948950819162119e-09,-0.06996943798065997,-7.661140181366238e-15,5.8021925539168676e-11,1.7274003178808096e-09,1.1735871603760217e-06,0.7848000000000231,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0
0.5370000000000004,settle,-2.0844444917952263e-12,3.948901559800989e-09,0.029998826413634203,0.0,0.0,0.0999682643942952,-2.0844444917952263e-12,3.948901559800989e-09,-0.06996943798066099,-7.373869973744478e-15,5.4602731304058776e-11,1.6809818944207198e-09,1.173587093131201e-06,0.7848000000000303,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0
0.5380000000000004,settle,-2.1064407715928246e-12,3.9488555657679275e-09,0.029998826413634196,0.0,0.0,0.09996826439430397,-2.1064407715928246e-12,3.9488555657679275e-09,-0.06996943798066976,-6.996394145371925e-15,5.0983207540570955e-11,1.6050197331403386e-09,1.1735870289256156e-06,0.7848000000015142,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0
0.5390000000000004,settle,-2.1377593657952226e-12,3.948790079601221e-09,0.029998826413634206,0.0,0.0,0.09996826439429247,-2.1377593657952226e-12,3.948790079601221e-09,-0.06996943798065827,1.1927357309363869e-14,7.258989265013892e-11,7.945485295489856e-09,1.1735873467894065e-06,0.7847999999995046,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0
0.5400000000000004,settle,-2.1670283121329937e-12,3.948728878580104e-09,0.029998826413634213,0.0,0.0,0.0999682643942935,-2.1670283121329937e-12,3.948728878580104e-09,-0.06996943798065929,5.730925053174714e-15,6.783978359603421e-11,4.616693879978674e-09,1.1735875314819455e-06,0.784799999999656,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0
0.5410000000000004,settle,-2.196525956217269e-12,3.9486671986449e-09,0.029998826413634213,0.0,0.0,0.09996826439430234,-2.196525956217269e-12,3.9486671986449e-09,-0.06996943798066813,1.4301986115330136e-15,6.837050106142176e-11,2.2828398382605674e-09,1.173587622811667e-06,0.7847999999997715,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0
0.5420000000000004,settle,-2.2269755846696167e-12,3.948603527538448e-09,0.029998826413634213,0.0,0.0,0.09996826439429077,-2.2269755846696167e-12,3.948603527538448e-09,-0.06996943798065655,-1.4272378980959831e-15,7.057754367834806e-11,6.719601849521399e-10,1.1735876496964115e-06,0.7847999999998481,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0
0.5430000000000004,settle,-2.2583068183274693e-12,3.948538012481744e-09,0.02999882641363421,0.0,0.0,0.0999682643942918,-2.2583068183274693e-12,3.948538012481744e-09,-0.06996943798065758,-3.3284948277665637e-15,7.262140778428086e-11,4.1576997000588174e-10,1.1735876330638828e-06,0.7847999999999069,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0
0.5440000000000004,settle,-2.2900972798667383e-12,3.948471536771304e-09,0.029998826413634206,0.0,0.0,0.09996826439430069,-2.2900972798667383e-12,3.948471536771304e-09,-0.06996943798066649,-4.4956167824037594e-15,7.368618285371949e-11,1.1269795204731218e-09,1.1735875879818891e-06,0.7847999999999454,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0
0.5450000000000004,settle,-2.321818298603804e-12,3.948405206030968e-09,0.029998826413634203,0.0,0.0,0.09996826439428903,-2.321818298603804e-12,3.948405206030968e-09,-0.06996943798065483,-5.179791721329012e-15,7.352543893155162e-11,1.569092581059627e-09,1.1735875252091854e-06,0.7847999999999713,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0
0.5460000000000004,settle,-2.3529624975857154e-12,3.94834008133861e-09,0.029998826413634196,0.0,0.0,0.09996826439429007,-2.3529624975857154e-12,3.94834008133861e-09,-0.06996943798065589,-5.5392264255514064e-15,7.218854975392392e-11,1.8206347264612282e-09,1.173587452378555e-06,0.784799999999996,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0
0.5470000000000004,settle,-2.3831023916818443e-12,3.948277056585876e-09,0.02999882641363419,0.0,0.0,0.09996826439429904,-2.3831023916818443e-12,3.948277056585876e-09,-0.06996943798066485,-5.589186461659539e-15,6.98608095042427e-11,1.9388578769510265e-09,1.173587374815599e-06,0.7848000000000119,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0
0.5480000000000004,settle,-2.4119099802880832e-12,3.94821681771491e-09,0.02999882641363418,0.0,0.0,0.09996826439428728,-2.4119099802880832e-12,3.94821681771491e-09,-0.06996943798065311,-5.4393063533351425e-15,6.67727396933099e-11,1.9653513977144153e-09,1.1735872961944616e-06,0.7848000000000231,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0
0.5490000000000004,settle,-2.4391555419108684e-12,3.948159845043408e-09,0.029998826413634178,0.0,0.0,0.09996826439428834,-2.4391555419108684e-12,3.948159845043408e-09,-0.06996943798065416,-5.150648366932602e-15,6.315224424185092e-11,1.9301998573611412e-09,1.1735872189749808e-06,0.7848000000000227,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0
0.5500000000000004,settle,-2.4646965433427408e-12,3.948106436722239e-09,0.029998826413634175,0.0,0.0,0.09996826439429737,-2.4646965433427408e-12,3.948106436722239e-09,-0.0699694379806632,-4.868929274433968e-15,5.920127995128713e-11,1.8550360340752202e-09,1.1735871447635104e-06,0.7848000000000226,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0
