time_s,phase,joint1_position_rad,joint1_velocity_radps,joint1_target_rad,joint2_position_rad,joint2_velocity_radps,joint2_target_rad,joint3_position_rad,joint3_velocity_radps,joint3_target_rad,joint4_position_rad,joint4_velocity_radps,joint4_target_rad,joint5_position_rad,joint5_velocity_radps,joint5_target_rad,joint6_position_rad,joint6_velocity_radps,joint6_target_rad,tcp_x_m,tcp_y_m,tcp_z_m,contact_count,max_penetration_m
1.8459999999999075,pose1_hold,0.150531373249389,-6.641802853154979e-07,0.1505313348427364,0.8999658846917419,-6.863943617365735e-07,0.8999658440115703,-0.8000085570134534,4.4773495883887627e-07,-0.800008533847622,0.09759010332073514,-3.187125199022984e-08,0.09759010281719747,0.24998471525110091,1.5677623698661452e-06,0.249984821351527,0.10248253835599289,-3.688827331998158e-07,0.10248250911985896,0.309939081605072,0.05228383827814131,0.33106541965390024,0,0.0
1.8469999999999074,pose1_hold,0.15053137259651317,-6.528758401424009e-07,0.1505313348427364,0.8999658840163185,-6.754233893778898e-07,0.8999658440115703,-0.8000085565743978,4.3905562511568683e-07,-0.800008533847622,0.09759010328979026,-3.0944891441233715e-08,0.09759010281719747,0.24998471679544515,1.5443442320474143e-06,0.249984821351527,0.10248253799170481,-3.6428807652575584e-07,0.10248250911985896,0.30993908139389176,0.05228383806876274,0.3310654193436693,0,0.0
1.8479999999999073,pose1_hold,0.1505313719547492,-6.417639835419956e-07,0.1505313348427364,0.8999658833516994,-6.646191130030247e-07,0.8999658440115703,-0.8000085561438491,4.305486841652335e-07,-0.800008533847622,0.09759010325974943,-3.004083088392725e-08,0.09759010281719747,0.24998471831673327,1.5212881097786017e-06,0.249984821351527,0.10248253763195418,-3.5975062996762686e-07,0.10248250911985896,0.3099390811860096,0.05228383786298975,0.3310654190387432,0,0.0
1.8489999999999072,pose1_hold,0.15053137132390776,-6.308414315776105e-07,0.1505313348427364,0.8999658826977203,-6.539791241704642e-07,0.8999658440115703,-0.8000085557216384,4.2221069494470304e-07,-0.800008533847622,0.09759010323059085,-2.915857938473653e-08,0.09759010281719747,0.2499847198153215,1.4985882206673686e-06,0.249984821351527,0.10248253727668451,-3.5526968130200307e-07,0.10248250911985896,0.30993908098137457,0.05228383766076059,0.33106541873902107,0,0.0
1.849999999999907,pose1_hold,0.1505313707038028,-6.201049563161037e-07,0.1505313348427364,0.8999658820542192,-6.435010492071012e-07,0.8999658440115703,-0.8000085553076002,4.140382832869657e-07,-0.800008533847622,0.0975901032022932,-2.8297656315000938e-08,0.09759010281719747,0.24998472129156038,1.4762388753575098e-06,0.249984821351527,0.10248253692583997,-3.508445272353452e-07,0.10248250911985896,0.30993908077993637,0.05228383746201461,0.33106541844440557,0,0.0
1.850999999999907,pose1_hold,0.1505313700942514,-6.095513849380619e-07,0.1505313348427364,0.8999658814210367,-6.331825484569896e-07,0.8999658440115703,-0.8000085549015721,4.0602814045292055e-07,-0.800008533847622,0.0975901031748356,-2.7457591062666782e-08,0.09759010281719747,0.24998472274579486,1.4542344764217372e-06,0.249984821351527,0.1024825365793655,-3.464744731262801e-07,0.10248250911985896,0.30993908058164593,0.05228383726669218,0.33106541815480034,0,0.0
1.8519999999999068,pose1_hold,0.1505313694950738,-5.99177598830693e-07,0.1505313348427364,0.8999658807980154,-6.230213157757861e-07,0.8999658440115703,-0.800008554503395,3.981770218159571e-07,-0.800008533847622,0.09759010314819767,-2.6637922790211745e-08,0.09759010281719747,0.24998472417836437,1.4325695172657406e-06,0.249984821351527,0.10248253623720667,-3.4215883309371037e-07,0.10248250911985896,0.3099390803864548,0.05228383707473464,0.33106541787011107,0,0.0
1.8529999999999067,pose1_hold,0.15053136890609328,-5.889805325777753e-07,0.1505313348427364,0.8999658801850003,-6.130150779061195e-07,0.8999658440115703,-0.8000085541129133,3.904817456505542e-07,-0.800008533847622,0.09759010312235947,-2.583820030512266e-08,0.09759010281719747,0.24998472558960294,1.4112385807245131e-06,0.249984821351527,0.10248253589930974,-3.378969297732713e-07,0.10248250911985896,0.3099390801943153,0.052283836886084525,0.3310654175902455,0,0.0
1.8539999999999066,pose1_hold,0.15053136832713612,-5.789571730847548e-07,0.1505313348427364,0.8999658795818387,-6.031615940753398e-07,0.8999658440115703,-0.800008553729974,3.8293919240417447e-07,-0.800008533847622,0.09759010309730148,-2.5057981908897066e-08,0.09759010281719747,0.24998472697983928,1.3902363369010175e-06,0.249984821351527,0.10248253556562165,-3.336880941671632e-07,0.10248250911985896,0.3099390800051799,0.05228383670068534,0.33106541731511313,0,0.0
1.8549999999999065,pose1_hold,0.15053136775803155,-5.69104558703098e-07,0.1505313348427364,0.8999658789883801,-5.934586553823886e-07,0.8999658440115703,-0.8000085533544278,3.755463032174063e-07,-0.800008533847622,0.09759010307300466,-2.429683514334031e-08,0.09759010281719747,0.24998472834939683,1.3695575424741552e-06,0.249984821351527,0.10248253523608998,-3.2953166567743833e-07,0.10248250911985896,0.30993907981900254,0.05228383651848097,0.3310654170446252,0,0.0
