time_s,phase,cube_x_m,cube_y_m,cube_z_m,gripper_x_m,gripper_y_m,gripper_z_m,relative_x_m,relative_y_m,relative_z_m,cube_vz_mps,cube_speed_mps,cube_angular_speed_radps,penetration_m,table_normal_N,palm_normal_N,left_normal_N,left_vertical_N,left_side_normal_min,left_tip_above_cube_bottom_m,left_normal_vertical_N,left_q_m,left_actuator_N,right_normal_N,right_vertical_N,right_side_normal_min,right_tip_above_cube_bottom_m,right_normal_vertical_N,right_q_m,right_actuator_N,left_effective,right_effective
4.254000000000362,translate,1.7592696586183196e-05,2.9835646381360434e-08,0.10999098858001957,1.8178170781659184e-05,-4.651093634704508e-10,0.17995952487938294,-1.0283191268754546e-07,-6.451901845994932e-10,-0.06996853630174389,3.2215893953199385e-07,0.0011397246338783213,0.00019631529283208174,1.9031436488335062e-06,0.0,0.0,2.3985464397780243,0.3775973775172976,0.9999999999965625,0.007968697314403167,3.3699575446244264e-06,0.015001817999901279,2.3985455963201634,2.3985453339978076,0.4072020025670161,0.9999999999965625,0.007968661933579951,3.369955991003316e-06,0.015001817140704941,2.3985462911977535,1,1
4.254500000000362,translate,1.817512890738379e-05,2.98503142580826e-08,0.10999098874853852,1.8767457452437145e-05,-4.653383591576983e-10,0.17995952509080168,-1.0285625105967268e-07,-6.455306290651115e-10,-0.06996853634470135,3.370378891502072e-07,0.0011648646915292666,0.0001960201425986672,1.903176325380665e-06,0.0,0.0,2.3985464400089387,0.3775900833994429,0.99999999999656,0.007968697981968448,3.3716098011928973e-06,0.015001818000136183,2.3985455961325783,2.398545333679979,0.40720923650164337,0.99999999999656,0.007968662583727373,3.3716082460386998e-06,0.015001817140469857,2.3985462913854647,1,1
4.255000000000361,translate,1.8770263575421205e-05,2.9864981082978173e-08,0.10999098892467368,1.936943590897537e-05,-4.6556733758346036e-10,0.17995952530983528,-1.0288058934292601e-07,-6.458710406528981e-10,-0.06996853638765803,3.5227031535045284e-07,0.0011902693885649835,0.00019571828464080778,1.9032090009896734e-06,0.0,0.0,2.3985464402395986,0.3775827881877136,0.9999999999965574,0.00796869864862644,3.373262016710528e-06,0.01500181800037106,2.3985455959451265,2.39854533336203,0.4072164688170998,0.9999999999965574,0.007968663232968742,3.373260460022696e-06,0.015001817140234802,2.398546291573039,1,1
4.255500000000361,translate,1.9378232652198098e-05,2.9879646852055985e-08,0.10999098910860367,1.9984237998791807e-05,-4.657962984754039e-10,0.17995952553666233,-1.0290492753800627e-07,-6.462114128118176e-10,-0.06996853643061392,3.678599717322454e-07,0.0012159382095522347,0.00019541029887852718,1.9032416757422733e-06,0.0,0.0,2.3985464404702697,0.3775754918506259,0.9999999999965548,0.007968699314358785,3.3749141917158826e-06,0.0150018180006059,2.398545595757808,2.3985453330447157,0.40722369948304227,0.9999999999965548,0.007968663881285726,3.3749126334945555e-06,0.015001817139999785,2.3985462917604465,1,1
4.256000000000361,translate,1.9999167943038802e-05,2.989431156140467e-08,0.10999098930050896,2.0611995331695132e-05,-4.660252415783676e-10,0.17995952577146337,-1.0292926564560036e-07,-6.465517386617925e-10,-0.06996853647356906,3.838105931746575e-07,0.0012418706413377008,0.00019509672465395177,1.9032743496854894e-06,0.0,0.0,2.398546440701219,0.3775681943564124,0.9999999999965522,0.007968699979148591,3.3765663267518883e-06,0.015001818000840701,2.398545595570649,2.398545332728297,0.4072309284688184,0.9999999999965522,0.007968664528661462,3.3765647669971986e-06,0.015001817139764811,2.3985462919477225,1,1
4.2565000000003606,translate,2.0633200997786825e-05,2.990897520718485e-08,0.10999098950057191,2.125283927953813e-05,-4.662541666511776e-10,0.17995952601442072,-1.0295360366639667e-07,-6.46892011007324e-10,-0.0699685365165234,4.001258945567879e-07,0.00126806617296309,0.00019477806289009303,1.903307022658162e-06,0.0,0.0,2.3985464409311583,0.37756089567317164,0.9999999999965492,0.00796870064298083,3.3782184223643807e-06,0.015001818001075447,2.3985455953837,2.398545332411073,0.4072381557436248,0.9999999999965492,0.007968665175080908,3.378216861075881e-06,0.015001817139529885,2.398546292134924,1,1
4.25700000000036,translate,2.128046311185956e-05,2.992363778433365e-08,0.1099909897089767,2.190690097600152e-05,-4.664830734248701e-10,0.17995952626571857,-1.0297794160108167e-07,-6.472322237500095e-10,-0.06996853655947699,4.168095713801803e-07,0.0012945242955795797,0.00019445477818334195,1.9033396947419901e-06,0.0,0.0,2.3985464411607023,0.3775535957687618,0.9999999999965468,0.007968701305841472,3.379870479107445e-06,0.015001818001310134,2.3985455951968913,2.3985453320940797,0.4072453812764125,0.9999999999965468,0.007968665820530102,3.3798689162852823e-06,0.015001817139295012,2.3985462923219547,1,1
4.25750000000036,translate,2.1941085327260156e-05,2.9938299287893395e-08,0.10999098992590935,2.257431131640582e-05,-4.66711961649128e-10,0.17995952652554295,-1.030022794503359e-07,-6.475723704387177e-10,-0.06996853660242978,4.3386529913183284e-07,0.0013212445023621112,0.00019412730082943972,1.903372365931923e-06,0.0,0.0,2.398546441390094,0.3775462946107933,0.9999999999965438,0.007968701967718012,3.381522497539579e-06,0.015001818001544757,2.3985455950102104,2.398545331777314,0.40725260503587046,0.9999999999965438,0.007968666464996499,3.3815209331835535e-06,0.015001817139060201,2.398546292508817,1,1
4.25800000000036,translate,2.2615198433546768e-05,2.995295971223726e-08,0.10999099015155771,2.3255200957548982e-05,-4.669408310649581e-10,0.17995952679408173,-1.0302661721483849e-07,-6.479124451144734e-10,-0.06996853664538183,4.5129673243765295e-07,0.0013482262884241595,0.00019379602877939048,1.9034050362402506e-06,0.0,0.0,2.3985464416191307,0.37753899216670284,0.9999999999965414,0.007968702628599014,3.3831744782242215e-06,0.015001818001779313,2.398545594823668,2.3985453314607774,0.4072598269905003,0.9999999999965414,0.007968667108468705,3.3831729123344214e-06,0.015001817138825459,2.39854629269551,1,1
4.258500000000359,translate,2.330293296875962e-05,2.9967619051712045e-08,0.10999099038611146,2.3949700317567853e-05,-4.671696814276185e-10,0.17995952707152457,-1.0305095489527169e-07,-6.482524416007931e-10,-0.06996853668833311,4.691075051616836e-07,0.0013754691507333698,0.00019346132952520053,1.9034377056584294e-06,0.0,0.0,2.3985464418481084,0.37753168840369455,0.999999999996539,0.007968703288474238,3.3848264217312022e-06,0.015001818002013794,2.398545594637257,2.3985453311444704,0.4072670471085568,0.999999999996539,0.007968667750936465,3.3848248543073018e-06,0.015001817138590792,2.3985462928820347,1,1
4.259000000000359,translate,2.4004419220306533e-05,2.998227729971711e-08,0.10999099062976207,2.4657939575821475e-05,-4.673985124725833e-10,0.17995952735806295,-1.0307529249230995e-07,-6.485923545251552e-10,-0.0699685367312836,4.873012297427451e-07,0.0014029725880284707,0.00019312354191169858,1.9034703742056803e-06,0.0,0.0,2.3985464420769684,0.37752438328880106,0.9999999999965362,0.007968703947334413,3.3864783286355193e-06,0.015001818002248197,2.3985455944509955,2.3985453308285107,0.40727426535812644,0.9999999999965362,0.007968668392390521,3.3864767596774398e-06,0.015001817138356207,2.398546293068394,1,1
4.259500000000359,translate,2.471978722580772e-05,2.999693444925581e-08,0.10999099088270282,2.5380048672794576e-05,-4.676273239403854e-10,0.17995952765389017,-1.0309963000662046e-07,-6.48932178702721e-10,-0.06996853677423334,5.058814973477845e-07,0.0014307361007377972,0.00019278297787859373,1.903503041880388e-06,0.0,0.0,2.398546442305473,0.3775170767887584,0.9999999999965337,0.007968704605171212,3.3881301995172684e-06,0.015001818002482514,2.398545594264897,2.398545330512756,0.40728148170698153,0.9999999999965337,0.00796866903282259,3.3881286290250686e-06,0.01500181713812171,2.3985462932546007,1,1
